Nume_actiune,Timestamp
Afisare meniu,20210525232202
Optiune invalida,20210525232455
Oprire program,20210525232457
Pornire program,20210526103817
Oprire program,20210526103823
Pornire program,20210526125112
Afisare meniu,20210526125120
Pornire program,20210526135916
Pornire program,20210526140035
Produs adaugat in meniu,20210526140045
Pornire program,20210526141810
Afisare meniu,20210526141812
Produs eliminat din meniu,20210526141846
Afisare meniu,20210526141849
Pornire program,20210526142104
Afisare meniu,20210526142105
Pornire program,20210526143727
Afisare meniu,20210526143728
Pornire program,20210526143848
Produs adaugat in meniu,20210526143854
Afisare meniu,20210526143856
Produs eliminat din meniu,20210526143911
Pornire program,20210526143941
Afisare meniu,20210526143942
Produs eliminat din meniu,20210526143950
Afisare meniu,20210526143951
Pornire program,20210526144744
Afisare meniu,20210526144745
Pornire program,20210526144937
Afisare meniu,20210526144938
Produs adaugat in meniu,20210526144948
Afisare meniu,20210526144954
Produs eliminat din meniu,20210526145013
Afisare meniu,20210526145015
Pornire program,20210526150733
Afisare meniu,20210526150735
Produs eliminat din meniu,20210526150809
Afisare meniu,20210526150811
Produs eliminat din meniu,20210526150828
Afisare meniu,20210526150830
Pornire program,20210526150956
Produs eliminat din meniu,20210526151003
Afisare meniu,20210526151005
Pornire program,20210526151017
Optiune invalida,20210526151021
Pornire program,20210528133630
Afisare angajati,20210528133637
Angajat eliminat,20210528133642
Afisare angajati,20210528133646
Oprire program,20210528133650
Pornire program,20210528171902
Angajat adaugat,20210528171911
Oprire program,20210528171913
